"2016.Alan.Calvitti.Working.with.Temporal.Data.Healthcare","Alan Calvitti","Working with Temporal Data: Healthcare Applications","Mathematica version 10 introduced a range of innovative features for data, including Association which enables nested key-value arrays and arbitrary structured keys (compare to JSON). These features can be used to index temporal data as a flexible alternative to the built-in Time Series ? representation. We show how to index, prep, merge, perform temporal logic and graphics using real-world examples in healthcare to showcase the extreme efficiency of building scientific workflows in Mathematica using functional query patterns. (1) On the scientific side, we describe NIH/AHRQ funded time-motion study of activity collected during medical office visits at two large clinics. We're interested in how doctors use computers and how they use time while with patients (gaze to computer). Analysis steps include synchronization of various sensors to the visit timeline, organizing statistics at multiple levels of aggregation (hierarchical analysis) and visualizing the resulting patterns such as navigation across screens (sequential analysis). (2) On the tech R&D side, we describe a prototype Clinical Event Browser (CEB), a single-timeline chronological view of patient data, part of a national VA initiative (Vista Evolution) to develop next generation, web-based user interfaces to align with clinicians' needs to access data, improve decision making and care coordination. CEB leverages underlying timestamped logs and blend various data types including numerical (eg vital signs, lab results), events (eg visits, clinical reminders) and semi-structured fields like text and other codes, as well as highlight trends in patient's condition.","Data Analytics & Information Science"
"2016.Mary.Ann.Kelso.Computational.Power.on.Cloud.Technology","Mary Ann Kelso","Computational Power on Cloud Technology Building a Foundation for Student Success","Currently writing a book capturing subject matter knowledge and expertise acquired over 24 years of teaching math, both as an adjunct and a tenured professor. Book will be ‘published’ using Wolfram Mathematica to create a dynamic, variable, interactive learning environment for students Olympic College is a part of an initial deployment of Wolfram Mathematica by Computational Class Notes ? . My colleagues and I see the power of the technology specifically when deployment is on the cloud. We have seen the response from our students through • More effective learning – moving through the material more quickly • Enhanced retention of complex subject matter • Reduction in cost to students who no longer needed to buy books or calculators because everything that they need is in one space (most have mobile devices, phones, etc. and using the cloud they could access the material) • We provide laptops for those who need that support • Improved grades • Renewed or totally increased confidence • Very few students need to repeat the course • My colleagues and I identified that we are guiding our students to build a foundation for success This experience prompted me to look at the amount of material that I have learned through my teaching and I will now harness the material to provide a high quality service and product to students at Olympic College. Result will be that students – not only in my classes but in the college – can access sections/chapters of my book through a student portal at very reasonable cost to them.","Education"
"2016.Dara.Shayda.Mathematica.Based.Prosthetics..Orthotics","Dara Shayda","Mathematica Based Prosthetics & Orthotics","Based upon Mathematica's new Region functions and symbolic graphics and advanced differential equation solvers on arbitrary regions and version 11's advanced 3D printing functions, we are glad to announce the new Open Source non-profit R&D for developing advanced and economic prosthetics and orthotics suitable for use in most medical establishments. Our aim is to use Mathematica based system below to 3D scan and print $50 fixed limb socket for US and international consumption, with 100% open source code and systems to allow researchers and medical practitioners to cooperate to build a community and market place. Mathematica's Cloud and CDF technologies provide us with the following advantages unparalleled by any other software network system: 1. Whether in Cloud or CDF or a notebook the computational geometric operations are treated as a part of the language and therefore we are able to develop an order of magnitude less code with much higher functionality e.g. in comparison to a traditional solid modelling software 2. Mobile Cloud computing allows for Third World and Displaced People medical treatment; it is only a matter of 2-3 years prior to advent of smart phone 3D scanners and retail priced mobile MRI hand-held equipment. 3. System Modeler is proposed to be used for ""joint"" development e.g. knee or elbow or finger joints. There are many who attempt to use 3D scanners and 3D printers to develop prosthetics but they lack the ability to simulate and debug and design complex joint systems. 4. FEM (Finite Element Method package) used for proximity analysis and pressure mapping of the flesh/bone against the 3D printed socket. Already 64 CPU core hardware + licenses for Mathematica with Enterprise CDF for each CPU core in place. 5. Communication between the 3D printed structures and joints with the Wolfram Cloud to allow for the doctor to track the inner-working of 3D structure in touch with flesh and bones. This will be accomplished by an add on sensor attached to the Prosthetics e.g. Raspberry PI or Beaglebone embedded systems. 6. PROPOSED Eye-tracking glasses to participate in physio-therapy and adjustment and fitting (proposed vendor Tobii already on-board):","Engineering/Science"
"2016.Stan.Wagon.The.Ultimate.Tetratorus","Stan Wagon","The Ultimate Tetratorus","In 1958 Swierczkowski showed that there is no chain of congruent regular tetrahedra T(1), T(2), ...,T(n) that meet face to face, do not intersect except at the junction faces, and close up (i.e., T(n) and T(1) share a face). Such rings do exist for the other four regular solids. In 2014, we showed that there is such a chain so that there is a small gap -- 10^-18 -- between a face of T(n) and a face of T(1) . The natural conjecture is that there are such chains with gap error below any preassigned positive epsilon. We have found a structure that yields gap errors below 10^-200, and it is likely that these patterns will yield a proof of the conjecture.","Math"
"2016.Kyle.Keane.Code.Seal...A","Kyle Keane","Code Seal ? : A System for Teaching the Art of Scientific Narratives","Built on top of Mathematica, we have developed an open publication and distribution platform for interactive STEM curriculum (learning modules) that use the Wolfram Language. Modules published using our platform present STEM concepts while requiring students to complete computational programming challenges that reinforce the application of those concepts. We support the interactive power of Dynamic[] constructs, such as Manipulate[], and the algorithmic power of the Wolfram Language. Published modules can be used in traditional classrooms and for synchronous or self-paced online education. Currently, the system is being used in multiple universities across the United States, and we are looking for teachers to join our movement. In this talk, we will provide an overview of our platform, provide a live walk-through of a learning module, describe the (very simple) authoring process, and provide instruction for new authors looking to publish learning modules with us. By completing a module, students build their own personalized electronic document full of rich interactive visualizations and effective coding techniques. This flexible document combines the information of a traditional textbook with a personal collection of code that can be continually expanded well after graduation. The goal is to inspire students to make their own education rather than simply consuming it.","Education"
"2016.Keith.Stroyan.Advanced.Calculus.using.Mathematica.Note","Keith Stroyan","Advanced Calculus using Mathematica: Note Book ? Edition","Advanced Calculus using Mathematica: Note Book ? Edition is a complete text on calculus of several variables written in Mathematica Note Books ? . The ""eBook"" has large movable figures and interactive programs to illustrate things like ""zooming in"" to see ""local linearity."" In addition to lots of traditional style exercises, the eText also has sections on student computing with Mathematica. Solutions to many exercises are in closed cells of the eText.","Education"
"2016.David.Quesada.From.Statistical.Analysis.to.Mathematical","David Quesada","From Statistical Analysis to Mathematical System Modeling: Respiratory Health in South Florida","Health data collected by the Department of Health of Florida from January 2005 to December 2012 are analyzed in conjunction with weather information gathered from NWS and Weatherbug stations across South Florida. Data processing is performed using Mathematica 10.4 capabilities and rendered in variety of formats that are easy to be understood by medical practioners. Such an analysis is aimed at finding potential correlations between weather conditions and the number of cases of asthma and other respiratory disorders at Emergency Departments in Miami Dade, Broward and Palm Beach counties. From the above biometeorological analysis, a system based approach is adopted in developing two mathematical models capable to describe the above obtained correlations. One of the models includes the interaction between the immune, endocrine, and nervous systems and able to describe the triggering of asthma.The second model explores the potential relation between epidemics, seasonality, and the triggering of respiratory disorders.","Data Analytics & Information Science"
"2016.David.Quesada.From.Time.Series.to.Brain","David Quesada","From Time Series to Brain Networks: Analysis of Brain Network Dynamics in Case of Epilepsy.","Mapping brain areas responsible for pathological behaviors of the central nervous system is one of the areas of major interest in transalational medicine nowadays. In this sense, the concept of brain networks ha emerged as one of the most fascinating applications of graph theory and complex networks. This communication is aimed at presenting the application of above ideas to address epilepsy. By using the capabilities provided by Matematica 10.4 to deal with networks and time series analysis, data obtained from EEG measurements are anlyzed and mapped into a network. Variabilities within obtained network - measurement batches are computed and some predictions are advanced in terms of network features. Additionally, two types of mathematical models are solved, the Fizt Hugh ? - Nagumo and the Kuramoto model opearting on a network. The former accounts for the behavior of a group of neurons within a particular cortical region of the brain, while the secon is used to account for the synchronicity between different areas within the Temporal Lobes, where epileptic focal points use to be localized. Results from this research are transalated into methologies to be followed by surgeons when they do surgical procedures in patients who do not respond to antiepileptic medications.","Engineering/Science"
"2016.Rodrigo.Obando.Probabilistic.Cellular.Automata.from.cluster","Rodrigo Obando","Probabilistic Cellular Automata from cluster signatures","Cellular Automata has been used to study complex systems. Cellular Automata rule spaces are the sets that contain the rules for given properties such as number of cell states, dimensionality and evaluation radius. Obando introduced a way of partitioning the rule spaces by defining primitves for the rules. The number of primitives is defined by the number of cell states. If we use these primitives to order the rule spaces, we find that each primitive define a rule space dimension (not to be confused with the dimensionality of the rules.) These dimensions are partially ordered and not easily visualized. Huffman introduced a way of clustering rules according to their behavior but defined also by the closeness in this space. The clusters can be characterized by cluster signatures. Among interesting facts in the Elementary Cellular Automata, a particular cluster signature contains the rules (18,26,82,90,146,154,210,218) which all evolve Sierpinski triangles under an input of a sin gle black cell. The cluster signatures can be complemented and the complement cluster signature for the cluster mentioned contains the rules (183,181,167,182,166,180,165,164) which evolves also into Sierpinski triangles except under an input of a single white cell. These clusters are {{""N"",""P"",""P"",""N""},{""D"",""D"",""D"",""P""}} and {{""P"",""D"",""D"",""D""},{""N"",""P"",""P"",""N""}} respectively. We define a probabilistic cellular automata based on these cluster signatures and an important characteristics exhibited by these automata is structural stability in their global behavior.","Engineering/Science"
"2016.Zbigniew.Kabala.Well.Hydraulics.with.Mathematica","Zbigniew Kabala","Well Hydraulics with Mathematica","Well hydraulics, a subfield of groundwater hydrology and reservoir engineering, focuses on developing and applying mathematical models relating the pressure drop in geologic formations to the pumping rate from a well. Based on pumping tests, such models are used to assess whether or not a given formation could be economically exploited for water, oil, or gas. Such models are also used in designing remediation of contaminated formations, especially aquifers that provide 25%-50% of our drinking water. With the exception of geometrically simple formations and wells, for which analytic solutions exist, most of the models needed in practice are represented by semi-analytic solutions in the Laplace domain that require numerical inversion. Written in C++ or Fortran, most codes in the field employ the Stehfest (1970) algorithm that approximates the numerical inversion of a Laplace transform by a linear combination of n transform evaluations. Theoretically, the Stehfest approximation converges with n -> \[Infinity]. However, its weights grow with n, and they should not exceed 12 in double-precision used by the commercial or public-domain codes. With its arbitrary precision capabilities, Mathematica comes to the rescue. We will discuss the limitations of the existing codes widely used in well hydraulics for modeling wells situated in open (unpressurized) formations such as water-table aquifers. We will show how these limitations are elegantly overcome in Mathematica.","Engineering/Science"
"2016.Pedro.Fonseca.Prototyping.Interface.Tools.for.Volumetric","Pedro Fonseca","Prototyping Interface Tools for Volumetric Data Exploration in VR Environments","3D virtual reality has recently become extremely accessible. Many applications already exist for this technology, and many others are constantly being developed. Typical virtual environments place the explorer in a 3D virtual world populated with 2D geometries: surfaces, lines, etc. But many science and engineering fields generate 3D volumetric data (computational fluid dynamics, RMI, ct-scans, etc.). Such volumetric / ""dense"" information can easily be pre-processed into 2D geometries (slices, iso-surfaces, streamlines, etc.). Most of these information extraction techniques were created to explore 3D data in 2D environments (screens, printed paper, etc.). With VR tools being generalized, we can nowadays easily enter inside 3D data fields. But should we keep using the tools adapted for a 2D world? Or can we explore these information fields in a more immersed way? In this presentation we will discuss a small set of visualization and navigation tools, prototyped with the WL, specifically imagined to explore volumetric data. Equipped with invisibility hand-held spotlights and laser beam pointers, we will navigate through information fields, with the help of films, recorded from the point of view of the explorer.","Visualization/Image Processing"
"2016.Thorsten.Förstemann.The.area.oft.the.Mandelbrot","Thorsten Förstemann","The area oft the Mandelbrot set – yet another two numerical approaches","An analytical expression of the area of the Mandelbrot set is unknown. So far, the most accurate numerical estimation of the area by R.P. Munfao (2012) has a precision of 7 decimals and takes 8 days on a standard quad core PC. Gaining one more digit would take about 10^2 = 100x the CPU load or about 800 days, theoretically. Practically, in a first approach (2012) 8 digits of precision were reached with about 50x the CPU load. Mathematica with Open CL ? on a $1000 PC system provides approximately a 12x speedup, resulting in a decent CPU time of about 35 days. A drawback of the first approach is that the numerical error is based on statistics and has limited theoretical significance. With the second approach (2016) precise upper and lower bounds of the area can be calculated on the same PC system. So far, the most accurate numerical estimation of the precise lower and upper bounds by Fisher/Hill (2001) on 100 standard single core PCs is based on a quad tree tessellation of depth 1 9. This second approach reaches a tessellation of depth 24 using Mathematica and Open CL ? , thus about 2^(2x5) = 1024x the CPU load. Depths of 25 or 26 are in reach, resulting in quad trees in the range of Terabytes of compressed data – the next bottleneck…","Math"
"2016.Maureen.Baehr.The.Sustainable.Development.Goals..","Maureen Baehr","The Sustainable Development Goals &; The Wolfram Technology Stack -- Year 2","At last year's WTC, we introduced a long-term project to find and implement ways of using the Wolfram Technology Stack to provide protocols and tools for counting (measuring and reporting) progress on achieving the Sustainable Development Goals. During the past year we have been working on the first phase of the project, using various functionalities of the Wolfram technology stack to model and prototype. The presentation will review three projects: 1. Modeling Historical Data MDG and World Bank ? data into semantic data. Historical data as raw material for modeling SDG data forms. The goal is to show on historical data / historical models how the current capabilities of the Wolfram Stack might be utilized with emphasis on the new Entity Store ? [ ] functionality. 2. One Indicator Deep dive into one indicator as proof-of-concept. Working with AVAC -- a global prevention advocacy organization and Cabrini Missions, an on-the-ground health and social services organization in rural Swaziland to model the functionality needed to measure results on one indicator. This will be used as proof of concept for other indicators. Indicator 3.3.1: Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations. Emphasis is on cloud-based forms and dashboard design. 3. Knowledge Connections Beginning use of feature detection and neural networks to understand how SDG goals, targets and indicators inter-relate. Using text, pdf, narrative reports as raw material. Collecting samples of different types of documents and developing functions and modules to 'semanticize' and store them.","Data Analytics & Information Science"
"2016.Seth.Chandler.Building.a.better.data.healthcare.gov.How","Seth Chandler","Building a better data.healthcare.gov: How Wolfram technologies helped","This presentation will show how Wolfram Technology built a better data.healthcare.gov, the official site used by the federal government to deploy data on the workings of the Affordable Care Act. It will show how Database Link ? permitted the masses of data contained at data.healthcare.gov to be curated and lawfully placed in an SQL resource made available to the public. Several applications constructed using Mathematica and the data liberated from data.healthcare.gov will be presented, including an improved version of the “Kaiser Calculator,” currently the leading non-governmental source for consumers to understand health insurance purchasing options. Finally, the talk will show how Mathematica facilitates research on diverse topics embedded in the data such as operation of the “Risk Adjustment” program, the costs of various proposed modifications of the Affordable Care Act, the implications of recent court decisions regarding finance of the ACA and the ways in which ins urers regulate family formation, including those involving same sex couples. The talk makes heavy use of Mathematica Dataset programming and Database Link ? and integrates “traditional” Mathematica tools such as interactive visualization and machine learning. Little familiarity with details of the Affordable Care Act is required to understand the presentation.","Data Analytics & Information Science"
"2016.Jakub.Kabala.Computational.Approaches.to.Authorship.Attribution","Jakub Kabala","Computational Approaches to Authorship Attribution in a Corpus of 12th-century Latin Texts","This presentation applies techniques of hierarchical distance clustering and machine learning to a famous and vexing problem of authorship attribution in medieval history. Sometime before 1110, an anonymous author working in Venice, known as the Monk of Lido, wrote in Latin a contentious account of the First Crusade (1096-1101). Around 1113, another anonymous author working in Poland, known as the Gallus Anonymous, composed in Latin the earliest account of Polish history. For decades, historians and philologists have argued whether or not Monk and Gallus are in fact one and the same anonymous author. I have used Mathematica to answer this question using hierarchical distance clustering and machine learning. First, I build a large corpus of representative Latin texts from the 11th and 12th centuries. Second, I convert each member text into a vector containing the frequencies of the 250 most frequently occurring words (MFW) in the entire corpus. Third, I use the eight distance measures in Mathematica's Hierarchical Clustering ? package to calculate the distances between Gallus and Monk's frequency vectors, and to situate their proximity in the context of the entire corpus. Finally, I use machine learning algorithms to train a series of classifiers that can predict a text's authorship based on its MFW frequencies. Cross-validation indicates that Gallus and Monk are very likely one and the same author. The results also reveal the especially high and hitherto underexplored effectiveness of the Bray Curtis Distance measure and of logistic regression in shedding light on questions of authorship attribution.","Data Analytics & Information Science"
"2016.Gunnar.Preiß.Networking.of.Fuel.Cell.Stacks","Gunnar Preiß","Networking of Fuel Cell Stacks using the Wolfram Modeling and Simulation Suite","An integration of several fuel cell stacks into a single fuel cell system, a so-called fuel cell network, features a variety of possible network topologies for the corresponding fuel cells. Such topological configurations are well-known for the electrical and thermal architectures of electrochemical energy storage devices like secondary batteries or supercapacitors. It is a novel approach, however, to incorporate the reactant supply architectures of electrochemical energy conversion devices like fuel cells or redox-flow batteries while investigating their network topologies. Using Wolfram System Modeler ? , basic modules of fuel cell networks are developed in the Modelica language for drag-and-drop modeling of all possible fuel cell network topologies. This enables multiphysics simulation of the dynamical behavior of fuel cell networks. With the help of Wolfram Mathematica, fuel cell network models are analyzed and optimized, particularly with regard to model-based design of control systems. It is shown that fuel cell networks offer a higher overall system efficiency, compared to conventional fuel cell system possessing a single fuel cell stack. Furthermore, it is illustrated that fuel cell network systems demonstrate an increased operating range and less dynamical transients. Fuel cells offer considerable benefits in sustainable energy conversion, but have not been widely developed for commercial applications, so far. Fuel cell networks could provide improvements in performance, longevity, reliability, and cost over conventional fuel cell systems.","Engineering/Science"
"2016.Andreas.Wittich.Knowledge.based.Music","Andreas Wittich","Knowledge-based Music","The Wolfram Language is unique in that it combines its powerful programming language with real world knowledgebase. By using these features, we present here original music composed and interpreted by the WL and the code behind that. We have used different techniques, from simple lists manipulation to Machine Learning functions and connection to external services, to provide our framework the necessary minimum flexibility to create, what we think is, enjoyable music as a result of a collaboration between humans and machines.","Data Analytics & Information Science"
"2016.Aaron.Brzowski.24.Hour.Hacks.wit.the.Wolfram","Aaron Brzowski","24-Hour Hacks wit the Wolfram Language","Cloud/Software Development","7/18 mm"
"2016.Philip.Maymin.Sports.and.eSports.Analytics.with","Philip Maymin","Sports and eSports Analytics with the Wolfram Language","Sports and eSports provide a rich challenge of communicating quantitative computational findings to largely qualitatively thinking people who are often on the road without access to powerful hardware. The Wolfram Language is uniquely suited to bridge the gap with its ability to quickly generate machine learning results, custom visualizations, interactive tools, and cloud-deployed solutions. I present here a wide-ranging multi-project case study on how the Wolfram language has been deployed at NBA teams to explore and interact with optical player tracking data, project college player performance at the professional level, and evaluate trades and free agents, and how it has been deployed at Vantage Sports for eSports such as League of Legends to establish in-game win probabilities, provide unique data visualizations, and support professional teams in live drafting applications.","Data Analytics & Information Science"
"2016.Andrew.Yule.Lessons.Learned.From.Application.Development","Andrew Yule","Lessons Learned From Application Development with the Wolfram Language","Alex, nicknamed after the library of Alexandria, is the combined effort of Assured Flow Solutions to create an all-encompassing set of tools for handling its vast array of internal calculations, workflows and data analysis techniques. Assured Flow Solutions is a specialty engineering company focusing on oil and gas “flow assurance”, which attempts to assure optimal production and flow of hydrocarbons from reservoir to surface. The majority of its work involves studies to address certain production scenarios and the challenges associated with them. Assured Flow Solutions relies on a vast set of tools to solve these problems, which includes both academic and industry knowledge, as well as computer aided simulations. A large portion of these calculations and workflows are captured in small utilities, one-off reports, and poorly manage spreadsheet macros. Grouping these tools together and leveraging the power of the Wolfram Language has allowed Assured Flow Solutions to create a truly unique set of tools not seen in the industry to date. This presentation will discuss the Wolfram Language’s vital role in the successful (and timely) development of Alex. Specifically, it will address two different areas: 1. The role Wolfram Language can play in the oil and gas industry 2. Lessons learned in application development with the Wolfram Language","Engineering/Science"
"2016.Daniel.Reynolds.Computational.Jockey.CJ.","Daniel Reynolds","Computational Jockey (CJ)","In a world where Hip Hop has influenced the sample-ability of culture and creative content, we see a similar repeatability in mathematical content and physical simulation. Just as a media sample will appear the same if repeated unless altered (such as by an artist), so too will mathematical relations such as those found in number theory appear the same to all observers unless acted upon by artistic sensibilities. Similarly, physical simulation set with the exact same ideal conditions and rule sets should evolve in the same predictable manners by recurring laws unless altered (artistically). Computational Jockey (CJ) is the updating of traditional Disc Jockey (DJ) and (VJ) Video Jockey arts into the world of abstract mathematics and visualization. In this presentation on “Keeping the Vision”, visual and multimedia artist, musician, dj, scientist, and public school teacher Scantron aka Daniel Reynolds discusses how CJ is the natural extension of key Wolfram affiliates’ work into the current youth and arts culture. For example, the pioneering data equivalence philosophy of Stephan Wolfram, the mathematical cataloging of Eric Weisstein, and the pioneering 3D visual graphic design of Tom Wickham-Jones are all major influences to this system. In addition to concept art and technical demos, Scantron will perform some mathematics-based art and music in order to display key points of the CJ system and philosophy. He will also discuss how current mathematical investigations such as the Langlands Correspondence, polytopes, and p-adic number relations may have much to say and share with modern mathematical art.","Data Analytics & Information Science"
"2016.Anton.Antonov.Exemplifying.the.cultural.differences.between","Anton Antonov","Exemplifying the cultural differences between Machine Learning and Statistics","This talk is going to examine differences between doing Machine Leaning and Statistics. We assume that these two cultures tackle a large set of the same or similar problems hence a comparison is justified. The differences between the two cultures can be observed by comparing 1) what is considered important while participating in them, and 2) the methodologies employed for solving ""real life"", practical problems. Obviously, the cultural differences stem from practitioners backgrounds and schooling and we are going to point major differences of educational and experience backgrounds. (Also, jobs.) General observations will be stated and an overview of concrete examples (in Mathematica) is going to be presented. The concrete examples are from the (sufields of data analysis, prediction, recommendations, time series, gambling mathematics. Two examples are going to be discussed in more detail: 1) using collaborative filtering instead of regression, and 2) using natural language processing techniques in time series prediction. As a conclusion we are going to consider how to look for or come up with the new examples showing the cultural differences. (Some of) the major approaches and tricks of each culture are going to be identified and listed.","Math"
"2016.Anton.Antonov.Mathematica.vs.R.Advanced.Use.Cases","Anton Antonov","Mathematica vs R--Advanced Use Cases","Last year at WTC-2015 I presented a talk ""Mathematica vs R"" that was met with great interest. This talk is a continuation with more advanced projects of general interest that are used to compare further Mathematica and R. The topics covered are: data summarization and reports, importance of variables investigation, dimension reduction algorithms comparison, natural language processing, programming utilization of functional parsers, sparse linear algebra applications to recommenders, graph algorithms, handling collections of time series, detecting components in time series getting insight into personal finances, making of dynamic interfaces.","Data Analytics & Information Science"
